	imin	imax	jmin	jmax	latmin	latmax	lonmin	lonmax
Box_84	3714	3774	2589	2649	44.50845527648926	45.24361991882324	-35.110763549804695	-36.12571716308594
Box_85	3714	3774	2649	2709	45.24361991882324	45.97172164916992	-35.126453399658196	-36.1434268951416
Box_86	3714	3774	2709	2769	45.97172164916992	46.69282150268555	-35.143733978271484	-36.16291046142578
Box_87	3714	3774	2769	2829	46.69282150268555	47.40698432922363	-35.162710189819336	-36.18428802490234
Box_88	3714	3774	2829	2889	47.40698432922363	48.11428642272949	-35.18349266052246	-36.20767211914063
Box_89	3715	3774	2889	2950	48.11428642272949	48.8148078918457	-35.20619583129883	-36.233192443847656
Box_90	3714	3774	2949	3010	48.8148078918457	49.50862693786621	-35.23093795776367	-36.2609748840332
Box_91	3714	3775	3009	3069	49.50862693786621	50.19583320617676	-35.25784492492676	-36.29115295410156
Box_92	3715	3775	3069	3130	50.19583320617676	50.87652015686035	-35.287044525146484	-36.32386779785156
Box_93	3715	3775	3129	3189	50.87652015686035	51.55078125	-35.31867980957031	-36.3592700958252
Box_94	3714	3774	3190	3249	51.55078125	52.21871757507324	-35.35289001464844	-36.39751243591309
Box_95	3714	3775	3249	3310	52.21871757507324	52.88043403625488	-35.38982963562012	-36.43875694274902
Box_96	3716	3774	3309	3369	52.88043403625488	53.53603553771973	-35.42965888977051	-36.48317527770996
Box_97	3716	3776	3370	3430	53.53603553771973	54.185630798339844	-35.472543716430664	-36.530948638916016
Box_98	3715	3774	3429	3491	54.185630798339844	54.8293342590332	-35.51866912841797	-36.5822696685791
Box_99	3717	3775	3489	3551	54.8293342590332	55.46725845336914	-35.56821823120117	-36.63733673095703
Box_100	3774	3833	2349	2409	41.50471687316895	42.2695198059082	-34.053237915039055	-35.061967849731445
Box_101	3774	3833	2409	2469	42.2695198059082	43.02711486816406	-34.062129974365234	-35.07225799560547
Box_102	3774	3833	2469	2529	43.02711486816406	43.77753639221192	-34.072080612182624	-35.08376121520996
Box_103	3774	3833	2529	2589	43.77753639221192	44.52083206176758	-34.08317184448242	-35.096567153930664
Box_104	3774	3834	2589	2649	44.52083206176758	45.25705146789551	-34.095483779907234	-35.110763549804695
Box_105	3774	3834	2649	2709	45.25705146789551	45.98624801635742	-34.10910797119141	-35.126453399658196
Box_106	3774	3834	2709	2769	45.98624801635742	46.70848655700684	-34.124134063720696	-35.143733978271484
Box_107	3774	3834	2769	2829	46.70848655700684	47.42383193969727	-34.140655517578125	-35.162710189819336
Box_108	3774	3834	2829	2890	47.42383193969727	48.13235855102539	-34.158775329589844	-35.18349266052246
Box_109	3774	3834	2889	2949	48.13235855102539	48.834144592285156	-34.17859649658203	-35.20619583129883
Box_110	3775	3834	2950	3009	48.834144592285156	49.52927207946777	-34.200225830078125	-35.23093795776367
Box_111	3774	3834	3010	3069	49.52927207946777	50.21783065795898	-34.223785400390625	-35.25784492492676
Box_112	3774	3835	3069	3130	50.21783065795898	50.89990997314453	-34.249387741088874	-35.287044525146484
Box_113	3774	3834	3129	3190	50.89990997314453	51.57560729980469	-34.27716445922852	-35.31867980957031
Box_114	3775	3834	3189	3249	51.57560729980469	52.24502372741699	-34.3072452545166	-35.35289001464844
Box_115	3776	3834	3249	3310	52.24502372741699	52.90826416015625	-34.33977508544922	-35.38982963562012
Box_116	3776	3834	3309	3370	52.90826416015625	53.5654354095459	-34.374902725219734	-35.42965888977051
Box_117	3775	3834	3369	3429	53.5654354095459	54.21664619445801	-34.412778854370124	-35.472543716430664
Box_118	3775	3835	3430	3490	54.21664619445801	54.86200904846192	-34.453577041625984	-35.51866912841797
Box_119	3774	3835	3489	3551	54.86200904846192	55.50164031982422	-34.497468948364265	-35.56821823120117
Box_120	3834	3893	2350	2409	41.512298583984375	42.27788352966309	-33.044336318969734	-34.053237915039055
Box_121	3834	3893	2410	2469	42.27788352966309	43.036298751831055	-33.051801681518555	-34.062129974365234
Box_122	3834	3893	2470	2529	43.036298751831055	43.78758430480957	-33.060169219970696	-34.072080612182624
Box_123	3834	3893	2530	2589	43.78758430480957	44.53178405761719	-33.069509506225586	-34.08317184448242
Box_124	3834	3893	2590	2649	44.53178405761719	45.26894569396973	-33.07989883422852	-34.095483779907234
Box_125	3834	3893	2650	2709	45.26894569396973	45.99912452697754	-33.091415405273445	-34.10910797119141
Box_126	3834	3894	2710	2769	45.99912452697754	46.72238540649414	-33.104137420654304	-34.124134063720696
Box_127	3834	3894	2770	2830	46.72238540649414	47.43879508972168	-33.11815452575684	-34.140655517578125
Box_128	3834	3894	2830	2890	47.43879508972168	48.1484260559082	-33.133554458618164	-34.158775329589844
Box_129	3834	3894	2890	2950	48.1484260559082	48.85135459899902	-33.15043258666992	-34.17859649658203
Box_130	3834	3894	2950	3010	48.85135459899902	49.54766464233398	-33.168888092041016	-34.200225830078125
Box_131	3834	3894	3010	3070	49.54766464233398	50.23744773864746	-33.189023971557624	-34.223785400390625
Box_132	3834	3894	3070	3130	50.23744773864746	50.9207935333252	-33.210952758789055	-34.249387741088874
Box_133	3835	3894	3130	3190	50.9207935333252	51.59779739379883	-33.234786987304695	-34.27716445922852
Box_134	3835	3895	3190	3250	51.59779739379883	52.26856231689453	-33.260648727416985	-34.3072452545166
Box_135	3835	3894	3250	3311	52.26856231689453	52.93319320678711	-33.288671493530266	-34.33977508544922
Box_136	3835	3895	3310	3370	52.93319320678711	53.59179878234863	-33.31899070739746	-34.374902725219734
Box_137	3835	3894	3371	3430	53.59179878234863	54.24448776245117	-33.35174560546875	-34.412778854370124
Box_138	3836	3894	3431	3490	54.24448776245117	54.8913745880127	-33.387094497680664	-34.453577041625984
Box_139	3836	3895	3491	3551	54.8913745880127	55.53257751464844	-33.425199508666985	-34.497468948364265
Box_140	3894	3953	2350	2409	41.51884269714356	42.28511047363281	-32.03527545928955	-33.044336318969734
Box_141	3894	3953	2410	2469	42.28511047363281	43.044246673583984	-32.04128646850586	-33.051801681518555
Box_142	3894	3953	2470	2529	43.044246673583984	43.79628944396973	-32.048041343688965	-33.060169219970696
Box_143	3894	3953	2530	2589	43.79628944396973	44.541282653808594	-32.055601119995124	-33.069509506225586
Box_144	3894	3953	2590	2649	44.541282653808594	45.279273986816406	-32.064030647277825	-33.07989883422852
Box_145	3894	3953	2650	2709	45.279273986816406	46.01032257080078	-32.073399543762214	-33.091415405273445
Box_146	3894	3953	2710	2770	46.01032257080078	46.73448944091797	-32.083776473999016	-33.104137420654304
Box_147	3894	3953	2770	2830	46.73448944091797	47.45184135437012	-32.095240592956536	-33.11815452575684
Box_148	3894	3954	2830	2890	47.45184135437012	48.162452697753906	-32.10787010192871	-33.133554458618164
Box_149	3894	3954	2890	2950	48.162452697753906	48.86639976501465	-32.12174892425537	-33.15043258666992
Box_150	3894	3954	2950	3010	48.86639976501465	49.56376838684082	-32.136967658996575	-33.168888092041016
Box_151	3894	3954	3010	3070	49.56376838684082	50.25464630126953	-32.15361595153809	-33.189023971557624
Box_152	3894	3954	3070	3130	50.25464630126953	50.939125061035156	-32.17179679870605	-33.210952758789055
Box_153	3895	3954	3130	3190	50.939125061035156	51.6173038482666	-32.191611289978034	-33.234786987304695
Box_154	3894	3954	3190	3250	51.6173038482666	52.289283752441406	-32.21317195892334	-33.260648727416985
Box_155	3895	3954	3251	3311	52.289283752441406	52.95517158508301	-32.23659610748291	-33.288671493530266
Box_156	3894	3954	3310	3370	52.95517158508301	53.61507415771485	-32.262008666992195	-33.31899070739746
Box_157	3895	3954	3371	3430	53.61507415771485	54.26910209655762	-32.289538383483894	-33.35174560546875
Box_158	3895	3954	3431	3490	54.26910209655762	54.91737174987793	-32.319327354431145	-33.387094497680664
Box_159	3896	3955	3490	3550	54.91737174987793	55.56000137329102	-32.351524353027344	-33.425199508666985
Box_160	3954	4013	2350	2409	41.52433204650879	42.291181564331055	-31.02606773376465	-32.03527545928955
Box_161	3954	4013	2410	2469	42.291181564331055	43.05093383789063	-31.03060054779053	-32.04128646850586
Box_162	3954	4013	2470	2529	43.05093383789063	43.80362510681152	-31.03571605682373	-32.048041343688965
Box_163	3954	4013	2530	2589	43.80362510681152	44.54930114746094	-31.04146480560303	-32.055601119995124
Box_164	3954	4013	2590	2649	44.54930114746094	45.28801155090332	-31.04790210723877	-32.064030647277825
Box_165	3954	4013	2650	2710	45.28801155090332	46.01981163024902	-31.05508708953857	-32.073399543762214
Box_166	3954	4013	2710	2770	46.01981163024902	46.74476432800293	-31.06308078765869	-32.083776473999016
Box_167	3954	4013	2770	2830	46.74476432800293	47.46293640136719	-31.07194805145264	-32.095240592956536
Box_168	3954	4013	2830	2890	47.46293640136719	48.17440223693848	-31.081759452819824	-32.10787010192871
Box_169	3954	4013	2890	2950	48.17440223693848	48.87924194335938	-31.092588424682614	-32.12174892425537
Box_170	3954	4014	2950	3010	48.87924194335938	49.57753944396973	-31.104512214660645	-32.136967658996575
Box_171	3954	4014	3010	3070	49.57753944396973	50.26938247680664	-31.117613792419434	-32.15361595153809
Box_172	3954	4014	3070	3130	50.26938247680664	50.95486450195313	-31.131979942321774	-32.17179679870605
Box_173	3954	4014	3130	3190	50.95486450195313	51.63408279418945	-31.147705078125	-32.191611289978034
Box_174	3954	4014	3191	3251	51.63408279418945	52.3071403503418	-31.16488742828369	-32.21317195892334
Box_175	3954	4014	3251	3311	52.3071403503418	52.97414588928223	-31.183629989624023	-32.23659610748291
Box_176	3955	4014	3311	3371	52.97414588928223	53.63520431518555	-31.204047203063965	-32.262008666992195
Box_177	3955	4014	3371	3431	53.63520431518555	54.29043006896973	-31.226256370544434	-32.289538383483894
Box_178	3955	4014	3431	3491	54.29043006896973	54.93994140625	-31.25038242340088	-32.319327354431145
Box_179	3954	4015	3491	3552	54.93994140625	55.58385467529297	-31.27656078338623	-32.351524353027344
Box_180	4014	4073	2350	2409	41.52874946594238	42.29608154296875	-30.01672649383545	-31.02606773376465
Box_181	4014	4073	2410	2469	42.29608154296875	43.05634307861328	-30.019760131835934	-31.03060054779053
Box_182	4014	4073	2470	2529	43.05634307861328	43.8095760345459	-30.02321147918701	-31.03571605682373
Box_183	4014	4073	2530	2589	43.8095760345459	44.55582237243652	-30.02712154388428	-31.04146480560303
Box_184	4014	4073	2590	2650	44.55582237243652	45.29513359069824	-30.03153705596924	-31.04790210723877
Box_185	4014	4073	2650	2710	45.29513359069824	46.02756690979004	-30.036505699157715	-31.05508708953857
Box_186	4014	4073	2710	2770	46.02756690979004	46.75318336486816	-30.042078971862797	-31.06308078765869
Box_187	4014	4073	2770	2830	46.75318336486816	47.47205352783203	-30.04831027984619	-31.07194805145264
